# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
23016|RM|Atlas Buoy||||2.000 S 67.000 E (2&#176;0'0" S 67&#176;0'0" E)|| |
23017|RM|Atlas Buoy||||4.000 S 67.000 E (4&#176;0'0" S 67&#176;0'0" E)|| |
23019|RM|Atlas Buoy||||4.000 S 65.000 E (4&#176;0'0" S 65&#176;0'0" E)|| |
23020|KA|Buoy|2.8DX1|Red Sea|WAMDAS payload|22.162 N 38.500 E (22&#176;9'43" N 38&#176;30'0" E)|?| |
23217|IS|STB - SAIC Tsunami Buoy|STB03 IN3|Bay of Bengal IN3|STB payload|3.798 N 91.701 E (3&#176;47'53" N 91&#176;42'4" E)|?| |Data are not quality controlled by NDBC.
23218|OT|Indian Tsunami Buoy||Bay of Bengal IN4|ITB payload|10.165 N 88.500 E (10&#176;9'54" N 88&#176;30'0" E)|?| |Data are not quality controlled by NDBC.
23219|IS|STB - SAIC Tsunami Buoy|STB05 IN5|Bay of Bengal|STB payload|13.472 N 88.998 E (13&#176;28'21" N 88&#176;59'53" E)|?| |Data are not quality controlled by NDBC.
23220|OT|Indian Tsunami Buoy||Bay of Bengal||14.433 N 89.333 E (14&#176;26'0" N 89&#176;20'0" E)|?| |Due to processing issues, event data may not display on this webpage.
23223|OT|Indian Tsunami Buoy|09|Bay of Bengal|ITB payload|17.333 N 89.483 E (17&#176;20'0" N 89&#176;29'0" E)|?| |Data are not quality controlled by NDBC.
23225|OT|STB - SAIC Tsunami Buoy|||STB payload|18.630 N 67.180 E (18&#176;37'48" N 67&#176;10'48" E)|?| |
23226|OT|Indian Tsunami Buoy||Arabian Sea|ITB payload|20.200 N 67.333 E (20&#176;12'0" N 67&#176;20'0" E)|?| |Data are not quality controlled by NDBC.Due to processing issues, event data may not display on this webpage.
23227|IS|STB - SAIC Tsunami Buoy||Bay of Bengal|SAIC Tsunami Buoy (STB) with DART II BPR|6.265 N 88.653 E (6&#176;15'55" N 88&#176;39'11" E)|?| |Data are not quality controlled by NDBC.
23228|IS|STB - SAIC Tsunami Buoy||Arabian Sea|SAIC Tsunami Buoy (STB) with DART II BPR|20.764 N 65.284 E (20&#176;45'51" N 65&#176;17'2" E)|?| |Data are not quality controlled by NDBC.
23401|TH|STB - SAIC Tsunami Buoy||BAY OF BENGAL - 600 NM WNW of Phuket, Thailand|DART II payload|8.860 N 88.550 E (8&#176;51'36" N 88&#176;33'0" E)|?| |
23461|TH|ETD||ANDAMAN SEA - 180 NM NW of Phuket, Thailand|ETD payload|9.541 N 95.668 E (9&#176;32'28" N 95&#176;40'4" E)|?| |
28401|PM|Buoy||Kuroshio Extension Observatory (KEO)||32.384 N 144.540 E (32&#176;23'1" N 144&#176;32'25" E)|?| |
31001|PR|Atlas Buoy|PM-527|Samba||0.000 N 35.000 W (0&#176;0'0" N 35&#176;0'0" W)|| |
31002|PR|Atlas Buoy|PM-541|Frevo||4.000 N 38.000 W (4&#176;0'0" N 38&#176;0'0" W)|| |
31003|PR|Atlas Buoy|PM-542|Para?ba||8.000 S 30.000 W (8&#176;0'0" S 30&#176;0'0" W)|| |
31004|PR|Atlas Buoy|PM-543|Salvador||14.000 S 32.000 W (14&#176;0'0" S 32&#176;0'0" W)|| |
31005|PR|Atlas Buoy|PM-544|Espirito Santo||19.000 S 34.000 W (19&#176;0'0" S 34&#176;0'0" W)|| |
31006|PR|Atlas Buoy|PM-598|NE Extension||4.000 N 23.000 W (4&#176;0'0" N 23&#176;0'0" W)|| |
31007|PR|Atlas Buoy|PM-599|Jazz||0.000 N 23.000 W (0&#176;0'0" N 23&#176;0'0" W)|| |
31051|HC|Buoy||Santos||25.283 S 44.933 W (25&#176;17'0" S 44&#176;56'0" W)|?| |<p class="red">Data from this station are not quality controlled by NDBC</p>
31052|HC|Buoy||RECIFE||8.150 S 34.567 W (8&#176;9'0" S 34&#176;34'0" W)|?| |<p class="red">Data from this station are not quality controlled by NDBC</p>
31053|HC|Buoy|| RIO GRANDE DO SUL||32.595 S 51.353 W (32&#176;35'42" S 51&#176;21'11" W)|?| |<p class="red">Data from this station are not quality controlled by NDBC</p>
31201|R|Waverider Buoy||Floripa, Brazil (109)||27.705 S 48.134 W (27&#176;42'17" S 48&#176;8'2" W)|?| |
31260|HC|Buoy||||23.031 S 43.088 W (23&#176;1'52" S 43&#176;5'17" W)|| |This buoy was removed from its old location near 28.485S&nbsp; 47.522W and was re-deployed on 1/14/2010 near 23.031S&nbsp; 43.088W.
31261|IP|Buoy||||31.538 S 49.862 W (31&#176;32'17" S 49&#176;51'43" W)|| |
31478|IP|Buoy||||22.882 S 43.132 W (22&#176;52'55" S 43&#176;7'54" W)|| |
32012|WH|2.4-meter discus buoy||Woods Hole Stratus Wave Station |WAMDAS payload|19.425 S 85.078 W (19&#176;25'29" S 85&#176;4'39" W)|C| |MET data from this station is available at <a title="32st0" href="https://www.ndbc.noaa.gov/station_page.php?station=32st0">32ST0</a>.
32066|IR|2.6-meter discus buoy||Ecuador INOCAR|EBM22TS (MSM Tsunami Warning System)|1.136 S 81.765 W (1&#176;8'9" S 81&#176;45'55" W)|?| |<p>Data are not quality controlled by NDBC.</p>
32067|IR|2.6-meter discus buoy||ECUADOR INOCAR|EBM22TS (MSM Tsunami Warning System)|0.641 N 81.262 W (0&#176;38'28" N 81&#176;15'42" W)|?| |Data are not quality controlled by NDBC
32068|IR|2.4-meter discus buoy||ECUADOR INOCAR - 58 NM West of Manta, Ecuador|EBM22TS (MSM Tsunami Warning System)|0.888 S 81.664 W (0&#176;53'17" S 81&#176;39'50" W)|?| |
32069|IR|2.4-meter discus buoy||ECUADOR INOCAR - 71 NM West of Pedernales, Ecuador   |EBM22TS (MSM Tsunami Warning System)|0.255 N 81.211 W (0&#176;15'18" N 81&#176;12'40" W)|?| |
32301|N|3-meter discus buoy|||DACT payload|9.900 S 105.200 W (9&#176;54'0" S 105&#176;12'0" W)|C| |
32302|N|3-meter discus buoy|||DACT payload|18.000 S 85.100 W (18&#176;0'0" S 85&#176;5'59" W)|C| |
32401|E|2.6-meter discus buoy||180 NM West of Iquique, Chile|DART II payload|20.442 S 73.422 W (20&#176;26'30" S 73&#176;25'18" W)|?| |
32402|E|2.6-meter discus buoy||180 NM  West of Caldera, Chile|DART II payload|26.743 S 73.983 W (26&#176;44'36" S 73&#176;58'59" W)|?| |
32403|CD|Buoy||91NM West of Antofagasta, Chile|DART 4G payload|23.163 S 72.037 W (23&#176;9'47" S 72&#176;2'13" W)|| |US Research System placed in Chilean waters through a cooperative effort with Chile.
32404|CD|Buoy||120 NM NW of Valparaiso|DART 4G payload|32.130 S 73.797 W (32&#176;7'48" S 73&#176;47'49" W)|?| |US Research System placed in Chilean waters through a cooperative effort with Chile.
32411|N|2.6-meter discus buoy|2.6D41|WEST PANAMA - 710 NM WSW of Panama City, Panama|DART II payload|4.973 N 90.790 W (4&#176;58'24" N 90&#176;47'24" W)|?| |
32412|N|2.6-meter discus buoy|2.6D81|SOUTHWEST LIMA - 645 NM SW of Lima, Peru|DART II payload|17.984 S 86.374 W (17&#176;59'1" S 86&#176;22'28" W)|| |
32413|N|2.6-meter discus buoy|2.6D69|NORTHWEST LIMA - 1000 NM WNW of Lima, Peru|DART II payload|7.435 S 93.442 W (7&#176;26'7" S 93&#176;26'31" W)|?| |As of 0110z, 5/24/24, the buoy at 32413 has gone adrift.
32487|DC|Offshore Buoy||Buenaventura, Colombia||3.517 N 77.737 W (3&#176;31'0" N 77&#176;44'13" W)|E| |
32488|DC|Offshore Buoy||Bahia Solano, Colombia||6.258 N 77.511 W (6&#176;15'27" N 77&#176;30'40" W)|E| |
32489|DA|2.6-meter discus buoy||Colombia   121NM SW of Buenaventura, Colombia|EBM22TS (MSM Tsunami Warning System)|2.998 N 79.101 W (2&#176;59'54" N 79&#176;6'5" W)|?| |Data are not quality controlled by NDBC.
32d12|N|2.6-meter discus buoy|2.6D80|SOUTHWEST LIMA 645NM SW of Lima, Peru|DART II payload|17.980 S 86.330 W (17&#176;58'48" S 86&#176;19'48" W)|?| |Hull 2.6D80 went adrift from station 32412 on 03/08/2016. It is still adrift. It has been renamed 32D12 for tracking purposes.
32d13|N|2.6-meter discus buoy|2.6D77|ADRIFT BUOY FROM 32413|DART II payload|7.430 S 93.480 W (7&#176;25'48" S 93&#176;28'48" W)|?| |As of 1305z, 05/28/2021, the buoy at station 32413 has gone adrift.					</p>Click <a title="here" href="https://www.ndbc.noaa.gov/nws_special/32d13.txt">here</a> to see the latest positions on the adrift buoy.
32st0|WH|Ocean Reference Station||Stratus|WAMDAS payload|22.000 S 85.000 W (22&#176;0'0" S 85&#176;0'0" W)|C| |Wave data from this station is available at <a title="32012" href="https://www.ndbc.noaa.gov/station_page.php?station=32012">32012</a>.
34002|OO|Moored Buoy||OOI Southern Ocean Buoy||55.000 S 90.000 W (55&#176;0'0" S 90&#176;0'0" W)|C| |
34420|CD|Buoy||119NM NW of Concepcion, Chile|DART 4G payload|35.758 S 75.243 W (35&#176;45'29" S 75&#176;14'35" W)|| |US Research System placed in Chilean waters through a cooperative effort with Chile.
41001|N|3-meter discus buoy|3D90|EAST HATTERAS - 150 NM East of Cape Hatteras|SCOOP payload|34.703 N 72.242 W (34&#176;42'9" N 72&#176;14'31" W)|E|FZNT22.KWBC |
41002|N|3-meter foam buoy|3D66|SOUTH HATTERAS - 225 NM South of Cape Hatteras|SCOOP payload|31.759 N 74.936 W (31&#176;45'33" N 74&#176;56'10" W)|E|FZNT22.KWBC |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.
41003|N|6-meter NOMAD buoy|||MVXII payload|30.400 N 80.100 W (30&#176;23'60" N 80&#176;5'60" W)|E| |(formerly eb05)
41004|N|3-meter foam buoy|3DV02|EDISTO - 41 NM Southeast of Charleston, SC|SCOOP payload|32.502 N 79.099 W (32&#176;30'7" N 79&#176;5'56" W)|E|FZNT22.KWBC FZUS52.KCHS|Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
41005|N|6-meter NOMAD buoy|||GSBP payload|31.700 N 79.700 W (31&#176;41'60" N 79&#176;42'0" W)|E| |
41006|N|6-meter NOMAD buoy|||GSBP payload|29.300 N 77.400 W (29&#176;18'0" N 77&#176;24'0" W)|E| |
41007|N|3-meter discus buoy|||DACT payload|34.200 N 76.500 W (34&#176;12'0" N 76&#176;30'0" W)|E| |
41008|N|3-meter discus buoy|3D36|GRAYS REEF - 40 NM Southeast of Savannah, GA|SCOOP payload|31.400 N 80.866 W (31&#176;24'0" N 80&#176;51'59" W)|E|FZUS52.KCHS |<p>This buoy is located in <a href="http://www.graysreef.noaa.gov/" shape="rect">Gray's Reef National Marine Sanctuary</a></p> <p>The southern third of NOAA's 22-square mile Gray's Reef National Marine Sanctuary has been designated a research area specifically designed for conducting controlled scientific studies where human activities cannot affect the results. Fishing and diving will be prohibited in the lightly used, 8-square mile research area. Vessels are permitted to travel through it without stopping. For complete information, go to the Gray's Reef website at <a title="Grays Reef" style="font-size: 9pt;" href="https://graysreef.noaa.gov/science/research-area.html " shape="rect">Gray's Reef Research Area</a></p> <p>LINK TO PMEL's pCO2 SITE for their data on this Station: <br /><a title="Grays Reef (41008)" href="http://www.pmel.noaa.gov/co2/story/Grays+Reef" shape="rect">http://www.pmel.noaa.gov/co2/story/Grays+Reef</a></p>Right whales are active off GA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 15 and April 15.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
41009|N|3-meter discus buoy|3D65|CANAVERAL 20 NM East of Cape Canaveral, FL|SCOOP payload|28.508 N 80.185 W (28&#176;30'27" N 80&#176;11'6" W)|E|FZUS52.KMLB |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br /><br />
41010|N|3-meter discus buoy|3D41|CANAVERAL EAST - 120NM East of Cape Canaveral|SCOOP payload|28.878 N 78.467 W (28&#176;52'41" N 78&#176;28'0" W)|E|FZNT23.KNHC |
41011|N|6-meter NOMAD buoy|||DACT payload|28.200 N 80.100 W (28&#176;11'60" N 80&#176;5'60" W)|E| |
41012|N|3-meter discus buoy|3DV13|St. Augustine, FL 40NM ENE of St Augustine, FL|AMPS payload|30.042 N 80.534 W (30&#176;2'32" N 80&#176;32'1" W)|E|FZUS52.KJAX |<p>See the notice on loss of funding from the Coastal Storms Program for this station:<br style="widows: 2; text-transform: none; background-color: rgb(255, 255, 255); text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial, sans-serif; white-space: normal; orphans: 2; color: rgb(34, 34, 34); word-spacing: 0px;" /></p><p><a href="https://www.weather.gov/media/notification/pdfs/scn14-06buoy_staugustine_fl.pdf">https://www.weather.gov/media/notification/pdfs/scn14-06buoy_staugustine_fl.pdf</a><br /></p><p>Station 41012 has been disestablished on 02/19/2014.<br /><br /><br /></p>
41013|N|3-meter discus buoy|3D33|Frying Pan Shoals, NC|SCOOP payload|33.441 N 77.764 W (33&#176;26'28" N 77&#176;45'50" W)|E|FZNT22.KWBC FZUS52.KILM|Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><br />
41015|N|3-meter discus buoy|||DACT payload|35.400 N 75.300 W (35&#176;23'60" N 75&#176;17'60" W)|E| |
41016|N|12-meter discus buoy|||GSBP payload|24.600 N 76.500 W (24&#176;36'0" N 76&#176;30'0" W)|E| |
41017|N|3-meter discus buoy|||DACT payload|35.400 N 75.100 W (35&#176;23'60" N 75&#176;5'60" W)|E| |
41018|N|3-meter discus buoy|||DACT payload|15.000 N 75.000 W (15&#176;0'0" N 75&#176;0'0" W)|E| |
41021|N|3-meter discus buoy|48|Olympic Northeast|VEEP payload|31.920 N 80.850 W (31&#176;55'12" N 80&#176;50'60" W)|E| |
41022|N|3-meter discus buoy|52|Olympic Southwest|VEEP payload|31.890 N 80.860 W (31&#176;53'24" N 80&#176;51'36" W)|E| |
41023|N|3-meter discus buoy|52|Olympic Southwest|VEEP payload|31.920 N 80.930 W (31&#176;55'12" N 80&#176;55'48" W)|E| |
41024|CR|Moored Buoy||Sunset Nearshore, NC (SUN2)||33.837 N 78.477 W (33&#176;50'14" N 78&#176;28'36" W)|E|FZUS52.KILM |Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br /> <br /> Wave data from this buoy (SSBN7) can be viewed <a title="SSBN&" href="https://www.ndbc.noaa.gov/station_page.php?station=ssbn7">here</a>.
41025|N|3-meter discus buoy|3D16|Diamond Shoals, NC|SCOOP payload|35.010 N 75.454 W (35&#176;0'35" N 75&#176;27'16" W)|E|FZUS52.KMHX |</p>This buoy is located 2 NM to the East-Northeast of the <a style="font-size: 9pt;" href="http://www.monitor.noaa.gov/">Monitor National Marine Sanctuary</a>.</p>Right whales are active off NC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the mid-Atlantic coast. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike/">http://www.nmfs.noaa.gov/pr/shipstrike/</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike/"></a>
41026|PR|Atlas Buoy|PM-529|Forro||12.000 N 38.000 W (12&#176;0'0" N 38&#176;0'0" W)|| |
41027|A|Offshore Buoy||Sunset Mid-Shelf (SUN 3)||33.302 N 78.137 W (33&#176;18'7" N 78&#176;8'14" W)|E|FZUS52.KILM FZNT22.KWBC|
41029|CR|Moored Buoy||Capers Nearshore, SC (CAP2)||32.803 N 79.624 W (32&#176;48'12" N 79&#176;37'26" W)|E|FZUS52.KCHS |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Wave data from this buoy (41065) can be viewed <a title="41065" href="https://www.ndbc.noaa.gov/station_page.php?station=41065">here</a>.
41030|A|Offshore Buoy||Capers Mid-Shelf (CAP 3)||32.520 N 79.340 W (32&#176;31'12" N 79&#176;20'24" W)|E|FZUS52.KCHS |
41033|CR|Moored Buoy||Fripp Nearshore, SC (FRP2)||32.279 N 80.406 W (32&#176;16'44" N 80&#176;24'23" W)|E|FZUS52.KCHS |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30. It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a></p>Wave data from this station (41067) can be viewed <a title="41067" href="https://www.ndbc.noaa.gov/station_page.php?station=41067">here</a>.
